[Epoch 1] [train LL: -6981.9569; val LL: -1350.1048] [train 4.46s; val 1.39s] ✓ improved
[Epoch 2] [train LL: -1352.2141; val LL: -717.2076] [train 1.90s; val 0.06s] ✓ improved
[Epoch 3] [train LL: -712.3115; val LL: -493.2117] [train 1.89s; val 0.06s] ✓ improved
[Epoch 4] [train LL: -487.7451; val LL: -446.9411] [train 1.89s; val 0.06s] ✓ improved
[Epoch 5] [train LL: -438.5745; val LL: -433.7071] [train 1.89s; val 0.07s] ✓ improved
[Epoch 6] [train LL: -423.6377; val LL: -426.1269] [train 1.90s; val 0.06s] ✓ improved
[Epoch 7] [train LL: -413.9845; val LL: -419.8621] [train 1.90s; val 0.06s] ✓ improved
[Epoch 8] [train LL: -407.9360; val LL: -413.8715] [train 1.89s; val 0.07s] ✓ improved
[Epoch 9] [train LL: -401.2454; val LL: -408.6320] [train 1.90s; val 0.07s] ✓ improved
[Epoch 10] [train LL: -393.2487; val LL: -404.0931] [train 1.89s; val 0.06s] ✓ improved
[Epoch 11] [train LL: -390.3262; val LL: -399.9964] [train 1.90s; val 0.07s] ✓ improved
[Epoch 12] [train LL: -385.6114; val LL: -396.4179] [train 1.89s; val 0.06s] ✓ improved
[Epoch 13] [train LL: -380.9340; val LL: -392.8224] [train 1.90s; val 0.07s] ✓ improved
[Epoch 14] [train LL: -375.8717; val LL: -389.5189] [train 1.90s; val 0.07s] ✓ improved
[Epoch 15] [train LL: -371.4047; val LL: -386.5852] [train 1.89s; val 0.07s] ✓ improved
[Epoch 16] [train LL: -369.4601; val LL: -383.8826] [train 1.90s; val 0.07s] ✓ improved
[Epoch 17] [train LL: -365.4312; val LL: -381.3874] [train 1.90s; val 0.06s] ✓ improved
[Epoch 18] [train LL: -362.0619; val LL: -378.8642] [train 1.90s; val 0.07s] ✓ improved
[Epoch 19] [train LL: -359.3307; val LL: -376.3793] [train 1.90s; val 0.07s] ✓ improved
[Epoch 20] [train LL: -356.0083; val LL: -373.9652] [train 1.90s; val 0.07s] ✓ improved
[Epoch 21] [train LL: -353.1447; val LL: -371.7614] [train 1.89s; val 0.06s] ✓ improved
